learning_rate,dimension,x_inicial,y_inicial,x_final,y_final,valor_minimo,iteraciones,convergido
0.001,1D,-2.0,,-0.3502580686891125,,16.224229126816503,200,False
0.01,1D,-2.0,,2.9120602669713924,,5.0077333966451425,200,False
0.1,1D,-2.0,,2.999995096014269,,5.000000000024049,63,True
0.5,1D,-2.0,,3.0,,5.0,2,True
0.9,1D,-2.0,,2.9999994734385416,,5.000000000000277,73,True
1.0,1D,-2.0,,-2.0,,30.0,200,False
1.5,1D,-2.0,,-8.034690221294951e+60,,6.4556246952172715e+121,200,False
0.001,2D,-1.0,4.0,-0.45570041406528367,3.4557004140652836,12.060929047280812,100,False
0.001,2D,5.0,-1.0,4.455700414065283,-0.637133609376856,8.710670978591692,100,False
0.001,2D,0.0,0.0,0.36286639062314446,0.18143319531157223,3.3502580686891132,100,False
0.01,2D,-1.0,4.0,1.60214133231574,1.3978586676842601,0.3165830389029889,100,False
0.01,2D,5.0,-1.0,2.39785866768426,0.7347608882104938,0.22864330587438086,100,False
0.01,2D,0.0,0.0,1.734760888210494,0.867380444105247,0.08793973302860714,100,False
0.1,2D,-1.0,4.0,1.999999684063125,1.000000315936875,1.9895196601282805e-13,73,True
0.1,2D,5.0,-1.0,2.000000394921094,0.9999997367192708,2.255973186038318e-13,72,True
0.1,2D,0.0,0.0,1.9999995886238606,0.9999997943119303,2.113864638886298e-13,70,True
0.5,2D,-1.0,4.0,2.0,1.0,0.0,2,True
0.5,2D,5.0,-1.0,2.0,1.0,0.0,2,True
0.5,2D,0.0,0.0,2.0,1.0,0.0,2,True
